# NIRISS background model; Zodi x 1.2 + stray light(MRD REV T)
# Wavlength (um)   MJy/sr
   0.50000    0.26644
   0.55000    0.26911
   0.60000    0.27089
   0.65000    0.27138
   0.70000    0.27051
   0.75000    0.26836
   0.80000    0.26513
   0.85000    0.26103
   0.90000    0.25628
   0.95000    0.25109
   1.00000    0.24564
   1.05000    0.24006
   1.10000    0.23449
   1.15000    0.22901
   1.20000    0.22371
   1.25000    0.21864
   1.30000    0.21384
   1.35000    0.20932
   1.40000    0.20510
   1.45000    0.20118
   1.50000    0.19755
   1.55000    0.19420
   1.60000    0.19112
   1.65000    0.18828
   1.70000    0.18565
   1.75000    0.18320
   1.80000    0.18091
   1.85000    0.17874
   1.90000    0.17665
   1.95000    0.17462
   2.00000    0.17260
   2.05000    0.17056
   2.10000    0.16850
   2.15000    0.16640
   2.20000    0.16426
   2.25000    0.16206
   2.30000    0.15982
   2.35000    0.15750
   2.40000    0.15512
   2.45000    0.15266
   2.50000    0.15012
   2.55000    0.14749
   2.60000    0.14477
   2.65000    0.14195
   2.70000    0.13903
   2.75000    0.13602
   2.80000    0.13290
   2.85000    0.12968
   2.90000    0.12636
   2.95000    0.12294
   3.00000    0.11943
   3.05000    0.11584
   3.10000    0.11221
   3.15000    0.10857
   3.20000    0.10496
   3.25000    0.10142
   3.30000    0.09801
   3.35000    0.09477
   3.40000    0.09174
   3.45000    0.08898
   3.50000    0.08654
   3.55000    0.08447
   3.60000    0.08282
   3.65000    0.08169
   3.70000    0.08127
   3.75000    0.08180
   3.80000    0.08351
   3.85000    0.08663
   3.90000    0.09141
   3.95000    0.09809
   4.00000    0.10689
   4.05000    0.11806
   4.10000    0.13183
   4.15000    0.14845
   4.20000    0.16815
   4.25000    0.19111
   4.30000    0.21719
   4.35000    0.24622
   4.40000    0.27802
   4.45000    0.31238
   4.50000    0.34911
   4.55000    0.38804
   4.60000    0.42897
   4.65000    0.47170
   4.70000    0.51604
   4.75000    0.56180
   4.80000    0.60877
   4.85000    0.65677
   4.90000    0.70558
   4.95000    0.75501
   5.00000    0.80486
   5.05000    0.85491
   5.10000    0.90487
   5.15000    0.95446
   5.20000    1.00339
   5.25000    1.05135
   5.30000    1.09805
   5.35000    1.14319
   5.40000    1.18646
   5.45000    1.22757
